,"('12TH',)","('16TH',)","('19TH',)","('24TH',)","('ANTC',)","('ASHB',)","('BALB',)","('BAYF',)","('CAST',)","('CIVC',)","('COLM',)","('COLS',)","('CONC',)","('DALY',)","('DBRK',)","('DELN',)","('DUBL',)","('EMBR',)","('FRMT',)","('FTVL',)","('GLEN',)","('HAYW',)","('LAFY',)","('LAKE',)","('MCAR',)","('MLBR',)","('MONT',)","('NBRK',)","('OAKL',)","('ORIN',)","('PCTR',)","('PHIL',)","('PITT',)","('PLZA',)","('POWL',)","('RICH',)","('ROCK',)","('SANL',)","('SBRN',)","('SFIA',)","('SHAY',)","('SSAN',)","('UCTY',)","('WARM',)","('WCRK',)","('WDUB',)","('WOAK',)","('NCON',)","('BERY',)","('MLPT',)"
"('12TH',)",19393.0,96890.0,19207.0,80981.0,47854.0,70423.0,44547.0,86293.0,31071.0,216975.0,31212.0,81095.0,85480.0,57088.0,152081.0,148794.0,71892.0,475491.0,70844.0,65452.0,47554.0,75267.0,41157.0,12190.0,66357.0,38675.0,333977.0,69816.0,14373.0,34794.0,15561.0,114851.0,60549.0,90321.0,242291.0,49365.0,56522.0,98460.0,22829.0,40191.0,45239.0,24088.0,61400.0,50588.0,88315.0,35887.0,28286.0,33333.0,0.0,0.0
"('16TH',)",107540.0,19689.0,140540.0,65858.0,32145.0,71125.0,160873.0,44761.0,23917.0,181807.0,45724.0,49691.0,43830.0,111029.0,103622.0,82284.0,71282.0,337485.0,34285.0,101876.0,96223.0,30235.0,21533.0,80976.0,121524.0,74007.0,401063.0,51521.0,7703.0,19791.0,10188.0,53822.0,41245.0,42282.0,403303.0,57887.0,69758.0,50959.0,45502.0,55348.0,23336.0,40723.0,30306.0,27817.0,40822.0,28619.0,121698.0,18600.0,0.0,0.0
"('19TH',)",18662.0,132113.0,18229.0,93940.0,36350.0,73479.0,36500.0,63004.0,23223.0,255870.0,20880.0,57617.0,80793.0,43928.0,159679.0,124887.0,63626.0,535636.0,71228.0,56644.0,45758.0,61201.0,45760.0,17714.0,62955.0,35467.0,423933.0,71599.0,10961.0,32470.0,14954.0,104997.0,49669.0,83731.0,242397.0,45797.0,58482.0,69282.0,19545.0,32528.0,39738.0,19363.0,57150.0,59220.0,89026.0,34957.0,19593.0,32987.0,0.0,0.0
"('24TH',)",92368.0,63201.0,99287.0,22551.0,17140.0,36486.0,144357.0,24849.0,9884.0,282787.0,37824.0,41040.0,24766.0,94214.0,76407.0,60675.0,26631.0,530530.0,11433.0,68467.0,81130.0,17958.0,11274.0,47242.0,67437.0,59408.0,649089.0,30828.0,6836.0,11227.0,6800.0,23872.0,31088.0,21911.0,504616.0,59838.0,35828.0,30621.0,41628.0,45624.0,13820.0,31815.0,11738.0,10014.0,21050.0,11892.0,70277.0,9801.0,0.0,0.0
"('ANTC',)",49157.0,25107.0,37423.0,14708.0,14938.0,2988.0,11067.0,2353.0,401.0,67176.0,5019.0,13810.0,32254.0,19743.0,13695.0,3294.0,1173.0,132343.0,2601.0,6031.0,9815.0,6542.0,4652.0,8788.0,31773.0,4504.0,100485.0,1736.0,5142.0,3168.0,7790.0,16080.0,7617.0,1454.0,72739.0,3460.0,10382.0,4697.0,6408.0,31119.0,1809.0,5769.0,3088.0,4066.0,27023.0,542.0,5340.0,5472.0,0.0,0.0
"('ASHB',)",68293.0,67820.0,73494.0,35972.0,2866.0,6588.0,10775.0,10000.0,2918.0,135679.0,2690.0,24413.0,7165.0,11781.0,99199.0,39018.0,6857.0,255860.0,8557.0,30758.0,11041.0,11071.0,2636.0,20743.0,28798.0,9281.0,215012.0,16836.0,6848.0,2599.0,1803.0,6546.0,3870.0,24038.0,112921.0,28334.0,3535.0,14507.0,4184.0,19804.0,5962.0,2570.0,10272.0,11253.0,6449.0,3582.0,7960.0,1579.0,0.0,0.0
"('BALB',)",54856.0,179565.0,42521.0,154745.0,12828.0,12161.0,18016.0,15721.0,6838.0,362605.0,23258.0,21247.0,15883.0,32059.0,33216.0,32203.0,18896.0,449359.0,6839.0,29343.0,33922.0,10649.0,3943.0,26006.0,24348.0,44453.0,725547.0,10995.0,2907.0,4303.0,5044.0,14050.0,15850.0,11263.0,599704.0,21280.0,13474.0,21738.0,36196.0,43009.0,5990.0,19503.0,6758.0,6310.0,12633.0,8246.0,21302.0,4774.0,0.0,1.0
"('BAYF',)",86842.0,40898.0,60290.0,22441.0,2504.0,9992.0,12889.0,8218.0,14007.0,117417.0,2654.0,55995.0,6242.0,20508.0,37239.0,11828.0,39042.0,241783.0,37498.0,61785.0,8840.0,28684.0,937.0,75282.0,25053.0,2810.0,212839.0,5949.0,1631.0,1060.0,1552.0,3011.0,2734.0,5142.0,138764.0,7141.0,2880.0,36752.0,4376.0,9161.0,18634.0,2998.0,24958.0,24272.0,3506.0,22170.0,10028.0,1280.0,1.0,0.0
"('CAST',)",32496.0,20423.0,22751.0,8790.0,552.0,2466.0,6486.0,13149.0,4435.0,70547.0,1022.0,23325.0,1322.0,9912.0,15962.0,2593.0,29737.0,180248.0,6647.0,15629.0,4425.0,5534.0,277.0,36767.0,7618.0,1614.0,152762.0,1953.0,2035.0,886.0,196.0,960.0,459.0,1558.0,71371.0,1615.0,1553.0,12096.0,1682.0,5933.0,3878.0,1712.0,4150.0,5404.0,1217.0,23313.0,3115.0,371.0,0.0,0.0
"('CIVC',)",278197.0,205591.0,298262.0,301930.0,79115.0,143321.0,316193.0,132576.0,75814.0,48980.0,130631.0,122490.0,131044.0,243366.0,218548.0,209847.0,200856.0,179474.0,102754.0,230600.0,195373.0,85093.0,81752.0,189212.0,253859.0,166518.0,165445.0,138761.0,20859.0,74445.0,24658.0,176982.0,109165.0,124517.0,99777.0,102625.0,186636.0,153830.0,106440.0,121813.0,70162.0,104449.0,98116.0,79887.0,138453.0,82066.0,269647.0,57242.0,0.0,0.0
